3.89945

0		21665
4		7877
32		2316
255		1360
62		895
53		701
48		640
61		514
56		486
66		481
59		431
65		403
64		325
50		315
60		278
52		270
51		253
54		251
67		243
58		230
63		218
13		210
79		197
46		195
6		193
250		187
76		185
44		174
55		165
49		165
3		164
75		162
71		141
2		140
7		140
1		132
72		108
45		107
101		88
57		82
22		80
69		80
26		74
21		71
28		70
30		69
109		68
16		67
116		67
34		67
78		65
8		60
97		59
110		58
12		56
18		54
99		53
20		53
73		53
47		51
33		50
104		48
114		48
108		48
5		48
27		45
111		44
164		44
29		43
240		42
70		42
15		41
74		39
115		38
77		38
120		35
118		35
9		34
11		34
24		34
224		34
144		32
201		32
105		32
10		31
68		31
100		31
31		31
40		30
95		30
80		30
102		29
23		28
158		28
103		28
25		28
14		26
19		25
192		25
87		25
86		25
129		25
222		24
98		24
38		23
230		23
84		23
83		23
160		23
254		22
128		22
36		22
93		22
39		22
168		22
176		21
198		21
81		21
82		20
94		20
229		20
17		20
219		19
204		19
150		19
253		19
88		19
127		19
237		19
225		19
226		19
232		19
107		19
137		19
205		18
186		18
214		18
152		18
213		18
200		18
238		18
246		18
247		18
249		18
117		18
35		17
236		17
42		17
85		17
180		17
91		17
106		17
207		17
161		17
217		17
165		17
124		17
132		17
210		17
174		16
177		16
131		16
135		16
136		16
189		16
145		16
235		16
146		16
239		16
242		16
212		16
211		16
208		16
89		16
183		16
119		15
43		15
96		15
195		15
162		15
203		15
113		15
191		15
140		15
37		14
209		14
227		14
142		14
231		14
141		14
155		14
167		14
112		14
121		14
138		14
171		14
172		14
199		14
188		14
130		14
221		13
159		13
166		13
241		13
175		13
185		13
187		13
196		13
41		13
90		13
143		13
190		12
244		12
245		12
228		12
193		12
233		12
194		12
206		12
156		12
223		12
178		12
92		12
182		12
170		12
134		11
181		11
123		11
202		11
248		11
252		11
154		11
216		10
148		10
126		10
139		10
234		10
173		10
197		10
151		10
122		9
179		9
153		9
220		8
163		8
243		8
169		8
147		7
215		7
125		7
133		6
184		6
157		6
149		6
251		6
218		5
