7.7979322369875285758666905167

0	503
40	381
162	338
138	281
128	181
10	168
255	150
50	116
1	115
248	105
36	101
240	95
109	94
127	94
241	93
120	91
3	90
252	90
2	86
227	86
254	86
225	83
158	82
218	82
63	79
60	78
146	78
198	78
124	77
160	77
191	76
196	76
226	75
251	75
246	74
31	73
79	71
113	71
130	71
219	71
62	70
181	70
7	69
121	68
142	68
223	68
224	68
228	67
35	66
90	66
32	65
70	65
110	65
163	65
174	65
180	65
183	65
210	65
15	64
52	64
107	64
141	64
143	64
167	64
199	64
28	63
211	63
231	63
237	63
27	62
56	62
61	62
125	62
159	62
195	62
221	62
253	62
11	61
12	61
73	61
87	61
93	61
104	61
145	61
188	61
201	61
71	60
112	60
119	60
135	60
140	60
18	59
99	59
6	58
91	58
105	58
154	58
187	58
238	58
14	57
22	57
29	57
149	57
175	57
234	57
5	56
25	56
69	56
179	56
184	56
186	56
192	56
230	56
4	55
17	55
86	55
92	55
101	55
103	55
115	55
144	55
177	55
203	55
239	55
58	54
72	54
106	54
111	54
185	54
200	54
213	54
215	54
9	53
55	53
67	53
133	53
137	53
165	53
170	53
171	53
212	53
233	53
242	53
13	52
20	52
39	52
47	52
53	52
122	52
126	52
206	52
247	52
30	51
57	51
117	51
147	51
173	51
220	51
232	51
43	50
54	50
95	50
100	50
150	50
182	50
193	50
194	50
229	50
59	49
75	49
77	49
88	49
114	49
151	49
169	49
197	49
208	49
33	48
84	48
85	48
139	48
190	48
207	48
214	48
8	47
64	47
129	47
136	47
156	47
222	47
24	46
26	46
94	46
164	46
244	46
16	45
37	45
81	45
116	45
123	45
166	45
176	45
243	45
45	44
82	44
118	44
134	44
209	44
245	44
19	43
49	43
217	43
23	42
48	42
65	42
78	42
83	42
102	42
131	42
153	42
250	42
21	41
178	41
236	41
66	40
98	40
132	40
249	40
38	39
42	39
51	39
44	38
46	38
76	38
80	38
108	38
172	38
202	38
204	38
235	38
89	37
96	37
216	37
168	36
41	35
155	35
157	35
34	34
97	34
148	34
189	32
68	31
74	29
205	29
152	27
161	26
