4.64165416404323227794748163433

32	3332
238	964
229	824
224	726
242	581
232	561
235	501
237	501
241	462
10	425
13	425
226	362
240	353
234	342
46	326
236	278
228	270
243	267
252	222
239	211
251	192
255	177
225	167
227	166
44	164
231	152
247	149
233	122
45	94
230	90
245	83
248	79
254	69
120	51
205	48
200	37
206	37
194	33
207	33
253	33
210	31
246	31
209	29
202	25
211	22
199	20
249	19
193	17
197	17
192	16
204	16
33	14
58	14
63	13
223	12
244	12
34	10
196	10
221	10
203	9
208	9
198	8
9	7
195	6
215	5
42	4
40	2
41	2
57	2
48	1
49	1
50	1
55	1
201	1
213	1
214	1
220	1
222	1
250	1
